case,run_id,turn,character,depth,reference_mean_depth,reference_std_depth,z_score
case2,run_20260115_192338,7,holmes,7.333333333333333,4.551333333333333,1.8421691320590274,1.5101762110683647
case2,run_20260115_192338,7,poirot,7.9,3.62060101010101,1.3428538016074505,3.18679441110892
case2,run_20260115_192338,7,marple,6.625,3.848859640359641,1.2201469950054273,2.27525074520059
case2,run_20260115_192338,8,marple,7.4,3.848859640359641,1.2201469950054273,2.9104201167372983
case2,run_20260115_192338,8,holmes,7.571428571428571,4.551333333333333,1.8421691320590274,1.6394234305292155
case2,run_20260115_192338,8,poirot,7.9,3.62060101010101,1.3428538016074505,3.18679441110892
case2,run_20260115_192338,9,marple,8.166666666666666,3.848859640359641,1.2201469950054273,3.5387597100854387
case2,run_20260115_192338,9,poirot,7.3,3.62060101010101,1.3428538016074505,2.739984788734708
case2,run_20260115_192338,9,holmes,7.333333333333333,4.551333333333333,1.8421691320590274,1.5101762110683647
case3,run_20260116_151430,1,marple,7.833333333333333,3.848859640359641,1.2201469950054273,3.2655685825427687
case3,run_20260116_151430,1,poirot,6.5,3.62060101010101,1.3428538016074505,2.144238625569092
case3,run_20260116_151430,1,holmes,6.555555555555555,4.551333333333333,1.8421691320590274,1.0879686274962523
case3,run_20260116_151430,2,poirot,7.25,3.62060101010101,1.3428538016074505,2.702750653536857
case3,run_20260116_151430,2,marple,7.833333333333333,3.848859640359641,1.2201469950054273,3.2655685825427687
case3,run_20260116_151430,2,holmes,6.571428571428571,4.551333333333333,1.8421691320590274,1.0965851087936422
case3,run_20260116_151430,3,marple,6.444444444444445,3.848859640359641,1.2201469950054273,2.127272217781644
case3,run_20260116_151430,3,poirot,6.8,3.62060101010101,1.3428538016074505,2.367643436756198
case3,run_20260116_151430,3,holmes,7.142857142857143,4.551333333333333,1.8421691320590274,1.4067784354996844
case3,run_20260116_151430,4,marple,7.0,3.848859640359641,1.2201469950054273,2.5825907636860936
case3,run_20260116_151430,4,holmes,6.571428571428571,4.551333333333333,1.8421691320590274,1.0965851087936422
