case,run_id,turn,character,intra_similarity,cross_similarity,character_distance
case3,run_20260115_195135,4,marple,0.05006419790221186,0.46673862756008827,-0.41667442965787643
case3,run_20260115_195135,4,poirot,0.5406803616712561,0.5225321455403646,0.01814821613089146
case3,run_20260115_195239,2,holmes,0.20135390605519587,0.21676163230734544,-0.015407726252149562
case3,run_20260115_195239,2,marple,0.042029815258545634,0.1783222925392205,-0.13629247728067487
case3,run_20260115_195239,2,poirot,0.3618299960316284,0.12260292009889759,0.23922707593273082
case3,run_20260115_195239,3,holmes,0.4170131211382755,0.29871032270918907,0.11830279842908642
case3,run_20260115_195239,3,marple,0.6149497834645943,0.2872728316326897,0.3276769518319046
case3,run_20260115_195239,3,poirot,0.568058721881566,0.19223607512023383,0.3758226467613322
case3,run_20260115_195239,4,holmes,0.45599170055114835,0.3749884363487466,0.08100326420240173
case3,run_20260115_195239,4,marple,0.10290383132740868,0.5164535930482006,-0.41354976172079194
case3,run_20260115_195239,4,poirot,0.5836156503344891,0.4635126271053911,0.12010302322909805
case3,run_20260115_195239,5,holmes,0.4285465483504687,0.47813464400575184,-0.04958809565528316
case3,run_20260115_195239,5,marple,0.4893765800498924,0.33416312518189834,0.15521345486799404
case3,run_20260115_195239,5,poirot,0.45899739351486957,0.4441693719299111,0.01482802158495844
case3,run_20260115_195403,2,holmes,0.30185575891681066,0.2611403395655564,0.04071541935125428
case3,run_20260115_195403,2,marple,0.22254675179985048,0.21004487809532718,0.012501873704523297
case3,run_20260115_195403,2,poirot,0.08000915465619146,0.323681670976836,-0.24367251632064452
case3,run_20260115_195403,3,holmes,0.4502051437113206,0.5716309624224252,-0.12142581871110458
case3,run_20260115_195403,3,marple,0.3139134484514836,0.5152297971218198,-0.2013163486703362
case3,run_20260115_195403,3,poirot,0.2454090859042144,0.6059637014466086,-0.3605546155423942
case3,run_20260116_150617,2,holmes,0.18922872811824454,0.033569231601823415,0.15565949651642114
case3,run_20260116_150617,2,marple,0.1196479607469605,0.22747108001259359,-0.10782311926563308
case3,run_20260116_150617,2,poirot,0.03497337493013125,0.22273580969004161,-0.18776243475991036
case3,run_20260116_150617,3,holmes,0.0712648534541955,0.2714456443813803,-0.2001807909271848
case3,run_20260116_150617,3,marple,0.21753225527171094,0.3451382980957039,-0.12760604282399296
case3,run_20260116_150617,3,poirot,0.27393886481797847,0.3291091178648743,-0.05517025304689582
case3,run_20260116_150617,4,holmes,0.3084929848712039,0.377816124799719,-0.06932313992851508
case3,run_20260116_150617,4,marple,0.39050569746907393,0.43092829705901065,-0.040422599589936714
case3,run_20260116_150617,4,poirot,0.43110952183069656,0.37351187916092377,0.0575976426697728
case3,run_20260116_151430,2,holmes,0.11932790724323061,0.18127538837721477,-0.061947481133984156
case3,run_20260116_151430,2,marple,0.0994175090649476,0.08131867418935534,0.01809883487559226
case3,run_20260116_151430,2,poirot,0.28641755981886385,0.17946812696399952,0.10694943285486433
case3,run_20260116_151430,3,holmes,0.43222607596844936,0.16086717612298052,0.27135889984546885
case3,run_20260116_151430,3,marple,0.323508430955275,0.19265307888812172,0.13085535206715326
case3,run_20260116_151430,3,poirot,0.29311706218309597,0.2656931586934916,0.027423903489604384
case3,run_20260116_151430,4,holmes,0.40447188308566584,0.3349708034593578,0.06950107962630803
case3,run_20260116_151430,4,marple,0.2813023501957363,0.17496324429829635,0.10633910589743995
case3,run_20260116_151430,4,poirot,0.3882174935361907,0.2467520576023055,0.14146543593388522
case3,run_20260116_151430,5,holmes,0.3865569471284065,0.3145422494203545,0.07201469770805197
case3,run_20260116_151430,5,marple,0.3288763125318195,0.25377059548605674,0.07510571704576274
case3,run_20260116_151430,5,poirot,0.5966293296303294,0.28191735022282294,0.3147119794075065
case3,run_20260116_151430,6,holmes,0.5272585130101815,0.6289803670211316,-0.10172185401095013
case3,run_20260116_151430,6,marple,0.4282181557159632,0.6404506272348006,-0.2122324715188374
case3,run_20260116_151430,6,poirot,0.4848647551539065,0.34656813394359576,0.13829662121031072
case3,run_20260116_151430,7,holmes,0.8269549876362674,0.8660679386099568,-0.03911295097368939
case3,run_20260116_151430,7,marple,0.8918346152207953,0.7867220758706618,0.10511253935013354
case3,run_20260116_151430,7,poirot,0.5048667542650402,0.8433695400921998,-0.33850278582715954
