case,run_id,turn,character,prob_correct,brier
case1,run_20260115_190152,2,poirot,0.15618181228637695,0.7120291590690613
case1,run_20260115_190152,3,poirot,0.004802510607987642,0.990418016910553
case1,run_20260115_190152,4,poirot,0.006225273013114929,0.9875881671905518
case1,run_20260115_190417,1,holmes,0.9799700379371643,0.0004011993878521025
case1,run_20260115_190417,2,holmes,0.001565161976031959,0.9968721270561218
case1,run_20260115_190417,3,holmes,0.0017269231611862779,0.996549129486084
case1,run_20260115_190417,4,holmes,0.0016277821268886328,0.9967470169067383
case1,run_20260115_190417,5,holmes,0.0014370197895914316,0.9971280694007874
case1,run_20260115_190417,6,holmes,0.0015340225072577596,0.9969342350959778
case1,run_20260115_190417,7,holmes,0.08101645112037659,0.8445308208465576
case1,run_20260115_190417,8,holmes,0.0013472214341163635,0.997307300567627
case1,run_20260115_190417,1,marple,0.21382030844688416,0.6180784702301025
case1,run_20260115_190417,2,marple,0.0016786957858130336,0.9966453909873962
case1,run_20260115_190417,3,marple,0.0028648911975324154,0.9942784309387207
case1,run_20260115_190417,4,marple,0.0016703777946531773,0.9966620802879333
case1,run_20260115_190417,5,marple,0.3967471122741699,0.36391404271125793
case1,run_20260115_190417,6,marple,0.39690694212913513,0.36372119188308716
case1,run_20260115_190417,7,marple,0.0015608066460117698,0.996880829334259
case1,run_20260115_190417,8,marple,0.002018353436142206,0.9959673881530762
case1,run_20260115_190417,1,poirot,0.94114089012146,0.0034643947146832943
case1,run_20260115_190417,2,poirot,0.9955580830574036,1.9730625353986397e-05
case1,run_20260115_190417,3,poirot,0.9816839098930359,0.00033547915518283844
case1,run_20260115_190417,4,poirot,0.9931446313858032,4.699607961811125e-05
case1,run_20260115_190417,5,poirot,0.9925557971000671,5.541615610127337e-05
case1,run_20260115_190417,6,poirot,0.9867765307426453,0.00017486013530287892
case1,run_20260115_190417,7,poirot,0.9923197627067566,5.898604649701156e-05
case1,run_20260115_190417,8,poirot,0.9929425716400146,4.980729499948211e-05
case1,run_20260122_141750,1,holmes,0.9877609014511108,0.0001497955381637439
case1,run_20260122_141750,2,holmes,0.002104169223457575,0.9957960844039917
case1,run_20260122_141750,3,holmes,0.0014409139985218644,0.997120201587677
case1,run_20260122_141750,4,holmes,0.004155534785240889,0.9917062520980835
case1,run_20260122_141750,5,holmes,0.0024740814696997404,0.995058000087738
case1,run_20260122_141750,6,holmes,0.9052446484565735,0.008978576399385929
case1,run_20260122_141750,1,marple,0.0017347631510347128,0.9965335130691528
case1,run_20260122_141750,2,marple,0.9276278018951416,0.005237734876573086
case1,run_20260122_141750,3,marple,0.7273088693618774,0.0743604525923729
case1,run_20260122_141750,4,marple,0.0014312436105683446,0.997139573097229
case1,run_20260122_141750,5,marple,0.8206071853637695,0.03218178078532219
case1,run_20260122_141750,6,marple,0.7758708000183105,0.05023389682173729
case1,run_20260122_141750,1,poirot,0.9384076595306396,0.0037936163134872913
case1,run_20260122_141750,2,poirot,0.7369833588600159,0.06917775422334671
case1,run_20260122_141750,3,poirot,0.005131093319505453,0.9897642135620117
case1,run_20260122_141750,4,poirot,0.9940651655197144,3.5222259612055495e-05
case1,run_20260122_141750,5,poirot,0.9945214986801147,3.00139763567131e-05
case1,run_20260122_141750,6,poirot,0.9904054999351501,9.205443348037079e-05
case2,run_20260115_190823,1,holmes,0.9880982041358948,0.00014165275206323713
case2,run_20260115_190823,2,holmes,0.0033172115217894316,0.9933765530586243
case2,run_20260115_190823,3,holmes,0.681602418422699,0.10137701779603958
case2,run_20260115_190823,4,holmes,0.004079357720911503,0.9918579459190369
case2,run_20260115_190823,5,holmes,0.5160016417503357,0.2342544049024582
case2,run_20260115_190823,1,marple,0.0012840060517191887,0.9974336624145508
case2,run_20260115_190823,2,marple,0.0013869507238268852,0.9972280263900757
case2,run_20260115_190823,3,marple,0.00150510692037642,0.9969919919967651
case2,run_20260115_190823,4,marple,0.0016638358356431127,0.9966750144958496
case2,run_20260115_190823,5,marple,0.0014531101332977414,0.9970958828926086
case2,run_20260115_190823,1,poirot,0.004621150903403759,0.9907790422439575
case2,run_20260115_190823,2,poirot,0.9911931157112122,7.756121340207756e-05
case2,run_20260115_190823,3,poirot,0.014263825491070747,0.9716758131980896
case2,run_20260115_190823,4,poirot,0.7868210077285767,0.0454452820122242
case2,run_20260115_190823,5,poirot,0.01297785434871912,0.9742127656936646
case2,run_20260115_190940,1,holmes,0.002883191453292966,0.9942418932914734
case2,run_20260115_190940,2,holmes,0.9824740290641785,0.00030715964385308325
case2,run_20260115_190940,3,holmes,0.001544975326396525,0.9969124794006348
case2,run_20260115_190940,1,marple,0.9933764338493347,4.3871626985492185e-05
case2,run_20260115_190940,2,marple,0.0016855744179338217,0.9966317415237427
case2,run_20260115_190940,3,marple,0.0017337051685899496,0.9965355396270752
case2,run_20260115_190940,1,poirot,0.006098014302551746,0.9878411293029785
case2,run_20260115_190940,2,poirot,0.009359002113342285,0.9813696146011353
case2,run_20260115_190940,3,poirot,0.0038364515639841557,0.9923418164253235
