case,run_id,turn,character,pos,neg,neu,compound
case3,run_20260115_193042,1,holmes,0.063,0.145,0.792,-0.898
case3,run_20260115_193042,1,marple,0.107,0.085,0.808,-0.475
case3,run_20260115_193042,1,poirot,0.13,0.064,0.806,0.776
case3,run_20260115_193042,2,holmes,0.026,0.141,0.833,-0.978
case3,run_20260115_193042,2,marple,0.068,0.12,0.812,-0.874
case3,run_20260115_193042,2,poirot,0.04,0.11,0.85,-0.952
case3,run_20260115_192935,1,holmes,0.067,0.129,0.804,-0.925
case3,run_20260115_192935,1,marple,0.075,0.097,0.828,-0.827
case3,run_20260115_192935,1,poirot,0.034,0.146,0.82,-0.968
case3,run_20260115_192935,2,holmes,0.083,0.181,0.736,-0.987
case3,run_20260115_192935,2,marple,0.042,0.188,0.77,-0.976
case3,run_20260115_192935,2,poirot,0.072,0.119,0.809,-0.917
case3,run_20260115_192935,3,holmes,0.053,0.176,0.771,-0.982
case3,run_20260115_192935,3,marple,0.019,0.172,0.81,-0.984
case3,run_20260115_192935,3,poirot,0.102,0.113,0.785,-0.763
case3,run_20260115_192935,4,holmes,0.057,0.174,0.77,-0.983
case3,run_20260115_192935,4,marple,0.009,0.159,0.833,-0.988
case3,run_20260115_192935,4,poirot,0.057,0.121,0.823,-0.957
case3,run_20260115_193624,1,holmes,0.062,0.162,0.776,-0.951
case3,run_20260115_193624,1,marple,0.125,0.092,0.783,0.639
case3,run_20260115_193624,1,poirot,0.046,0.086,0.868,-0.827
case3,run_20260115_193624,2,holmes,0.034,0.134,0.832,-0.919
case3,run_20260115_193624,2,marple,0.035,0.171,0.795,-0.964
case3,run_20260115_193624,2,poirot,0.051,0.176,0.774,-0.967
case3,run_20260116_150617,1,holmes,0.053,0.244,0.703,-0.979
case3,run_20260116_150617,1,marple,0.016,0.167,0.817,-0.957
case3,run_20260116_150617,1,poirot,0.019,0.114,0.867,-0.893
case3,run_20260116_150617,2,holmes,0.062,0.166,0.772,-0.942
case3,run_20260116_150617,2,marple,0.033,0.058,0.909,-0.422
case3,run_20260116_150617,2,poirot,0.014,0.168,0.818,-0.978
case3,run_20260116_150617,3,holmes,0.0,0.201,0.799,-0.974
case3,run_20260116_150617,3,marple,0.027,0.167,0.807,-0.967
case3,run_20260116_150617,3,poirot,0.009,0.17,0.82,-0.985
case3,run_20260116_150617,4,holmes,0.033,0.143,0.825,-0.939
case3,run_20260116_150617,4,marple,0.011,0.134,0.855,-0.965
case3,run_20260116_150617,4,poirot,0.011,0.139,0.85,-0.97
case3,run_20260115_193111,1,holmes,0.047,0.117,0.836,-0.878
case3,run_20260115_193111,1,marple,0.051,0.131,0.818,-0.852
case3,run_20260115_193111,1,poirot,0.088,0.11,0.802,-0.68
case3,run_20260115_193111,2,holmes,0.045,0.149,0.806,-0.973
case3,run_20260115_193111,2,marple,0.0,0.073,0.927,-0.784
case3,run_20260115_193111,2,poirot,0.016,0.165,0.819,-0.991
case3,run_20260115_193111,3,holmes,0.044,0.095,0.861,-0.932
case3,run_20260115_193111,3,marple,0.029,0.113,0.858,-0.928
case3,run_20260115_193111,3,poirot,0.041,0.119,0.84,-0.934
case3,run_20260115_193111,4,holmes,0.045,0.065,0.89,-0.61
case3,run_20260115_193111,4,marple,0.031,0.105,0.865,-0.929
case3,run_20260115_193111,4,poirot,0.009,0.082,0.909,-0.929
case3,run_20260115_193111,5,holmes,0.076,0.118,0.806,-0.951
case3,run_20260115_193111,5,marple,0.033,0.126,0.841,-0.99
case3,run_20260115_193111,5,poirot,0.035,0.142,0.823,-0.992
case3,run_20260115_193232,1,holmes,0.144,0.137,0.72,0.218
case3,run_20260115_193232,1,marple,0.072,0.1,0.827,-0.459
case3,run_20260115_193232,1,poirot,0.022,0.135,0.843,-0.973
case3,run_20260115_193232,2,holmes,0.116,0.134,0.75,-0.482
case3,run_20260115_193232,2,marple,0.031,0.07,0.899,-0.711
case3,run_20260115_193232,2,poirot,0.075,0.152,0.773,-0.958
case3,run_20260115_193232,3,holmes,0.116,0.159,0.725,-0.9
case3,run_20260115_193232,3,marple,0.0,0.101,0.899,-0.886
